レース情報,馬番,馬名,騎手名,基準オッズ,基準人気順位,ラップ適性,ラップキャラ,展開順位,展開ゴール差,先行力,追走力,持久力,持続力,瞬発力,ＳＴ指数,仕上指数,合計値,合計値順位,着,人,単勝
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,01,モンサンラファータ,北村宏,15.8,9,中速瞬発,,3,7,51,49,47,46,48,16,36,-28,11,9,6,18.7
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,02,ロサデラルス,大野拓,2.8,1,超低速底力,カスリ,1,0,71,55,26,44,59,35,41,-4,1,3,1,2.0
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,03,ラブヴィサージュ,柴田大,18.5,10,低速底力,ピッタリ,8,21,62,64,53,49,47,34,38,-8,2,13,8,40.8
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,04,デュエットカラー,嘉藤貴,91.9,15,低速バランス,,13,31,48,50,53,49,47,4,22,-54,15,15,15,311.7
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,05,キュリオス,木幡育,83.4,14,高速持続,,11,30,31,33,53,54,52,5,34,-41,14,8,13,107.2
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,06,ワンダーヴァレッタ,小崎綾,14.6,8,超低速スタミナ,,12,31,49,57,63,48,40,15,38,-27,10,10,9,41.4
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,07,アポロチーター,石川裕,6.4,2,低速底力,ピッタリ,9,26,54,60,59,46,40,30,40,-10,3,2,2,5.9
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,08,ローズドクレア,横山武,30.4,11,中速瞬発,,6,14,49,50,52,56,55,17,40,-23,8,14,12,68.0
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,09,サンロアノーク,西村太,6.9,3,超低速底力,カスリ,4,7,33,34,51,69,68,25,40,-15,6,4,4,9.8
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,10,ブラックアンバー,富田暁,11.2,5,中速底力,カスリ,2,6,46,35,33,51,61,28,40,-12,4,7,5,10.4
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,11,モリノカワセミ,野中悠,11.2,6,中速瞬発,,7,15,60,57,46,56,59,26,32,-22,7,1,7,26.0
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,12,クリスタルニキータ,内田博,13.8,7,中速スタミナ,,5,8,49,59,65,69,59,25,26,-29,12,11,10,42.0
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,13,ロンリーウェイ,武士沢,38.9,12,中速バランス,,14,35,55,58,55,50,47,15,39,-26,9,5,11,42.6
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,14,ゴーアブロード,岩部純,192.8,16,超高速底力,,16,41,43,38,42,36,41,4,15,-61,16,16,16,334.3
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,15,インターロード,古川吉,7.6,4,中速瞬発,,15,37,53,56,55,30,28,26,40,-14,5,6,3,9.1
東京1R　２歳未勝利２歳(馬齢)　ダ1400ｍ　09:55発走,16,ラインシャーロット,武藤雅,42.1,13,中速瞬発,,10,26,47,46,48,48,49,6,35,-39,13,12,14,120.1
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,01,ウインプレイヤー,石川裕,60.1,13,超低速スタミナ,,10,32,48,54,57,49,43,21,27,-40,14,15,14,225.5
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,02,フーズサイド,武士沢,17.2,6,超低速持続,,6,21,41,54,69,73,64,36,46,-6,2,4,6,17.9
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,03,マイティウェイ,大野拓,4.4,3,中速瞬発,,2,2,51,44,40,46,52,33,44,-11,5,11,4,6.6
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,04,ダイユウゲネシス,武藤雅,52.4,12,中速瞬発,,5,21,50,49,50,47,46,15,43,-30,11,16,13,210.8
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,05,ミラクルスクワート,江田照,43.5,9,中速瞬発,,8,30,51,43,41,41,46,7,37,-44,16,12,15,333.7
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,06,コスモロビンソン,柴田大,3.4,1,超低速底力,カスリ,1,0,60,49,33,50,62,36,44,-8,3,1,1,3.0
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,07,トランプズパワー,Ｃオド,7.1,5,超低速スタミナ,,14,40,68,72,49,33,29,29,45,-14,6,8,5,7.9
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,08,サンタコマ,横山武,46.6,10,中速瞬発,,7,28,44,46,54,52,49,23,37,-28,10,5,12,177.4
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,09,アスカエンペラー,酒井学,39.1,8,超低速底力,カスリ,15,43,53,53,50,48,47,21,44,-23,9,10,8,35.8
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,10,マキ,北村宏,4.8,4,低速瞬発,,4,12,50,50,50,63,66,38,44,-6,1,2,3,4.7
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,11,マテリアルワールド,木幡育,37.4,7,超低速持続,,3,9,46,37,41,55,63,27,43,-18,7,3,7,28.0
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,12,マイネルフィデス,宮崎北,131.0,16,超低速底力,カスリ,16,48,57,52,43,40,43,20,37,-31,12,13,16,427.6
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,13,ボヘミアラプソディ,内田博,4.0,2,高速持続,,12,38,65,70,51,44,42,36,44,-8,4,7,2,4.6
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,14,ウイニングメイビー,小崎綾,51.4,11,超低速スタミナ,,9,32,26,36,69,63,52,6,40,-42,15,9,11,137.7
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,15,ヤマタケフリーダム,野中悠,75.9,15,低速底力,ピッタリ,11,32,42,47,58,56,51,25,41,-22,8,6,9,90.9
東京2R　２歳未勝利２歳(馬齢)　ダ1600ｍ　10:20発走,16,マイネルペルマナン,伴啓太,61.8,14,中速瞬発,,13,38,47,42,45,42,44,19,33,-36,13,14,10,137.5
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,01,ベストオンアース,大野拓,5.7,3,中速バランス,ピッタリ,3,1,60,63,55,53,52,38,42,-4,4,2,2,4.2
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,02,ハルイロ,武藤雅,18.8,7,中速バランス,ピッタリ,12,37,54,55,51,37,32,18,42,-24,11,8,7,46.2
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,03,レディオスカル,江田照,14.1,5,中速瞬発,カスリ,8,21,39,43,59,60,59,31,30,-23,9,11,5,21.9
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,04,ノーブルテラ,西村太,115.0,14,高速持続,,6,18,38,46,68,64,60,22,40,-22,8,10,11,154.9
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,05,サドラーチョウサン,酒井学,86.0,12,中速瞬発,カスリ,9,23,37,44,65,60,56,23,37,-24,10,4,12,330.7
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,06,アブシンス,嘉藤貴,72.8,10,高速底力,,14,49,37,33,43,45,47,4,33,-47,15,13,14,386.3
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,07,リゼブルー,木幡育,76.2,11,超低速底力,,5,17,64,59,39,42,45,0,40,-44,14,7,10,135.7
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,08,ジューンバラード,菅原隆,108.4,13,中速バランス,ピッタリ,4,14,46,50,57,57,56,24,39,-21,7,9,13,333.7
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,09,タナロット,武士沢,49.6,9,超高速持続,,13,45,48,39,33,37,41,43,38,-3,3,15,8,52.8
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,10,フラワーリース,伊藤工,201.9,15,中速バランス,ピッタリ,15,51,51,45,38,31,30,26,26,-32,12,14,15,480.6
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,11,チェリーレッド,北村友,6.4,4,中速持続,カスリ,1,0,60,63,54,60,61,34,42,-8,6,1,4,10.5
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,12,グリグリ,内田博,1.9,1,中速瞬発,カスリ,11,25,45,42,44,54,58,40,44,0,1,5,1,1.5
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,13,モリトローテローゼ,伴啓太,16.3,6,中速瞬発,カスリ,10,25,48,44,43,50,55,29,50,-5,5,6,6,45.0
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,14,チェインドレディー,柴田大,4.9,2,中速瞬発,カスリ,2,0,65,65,50,53,54,40,42,-2,2,3,3,10.4
東京3R　２歳未勝利２歳(馬齢)　芝1600ｍ　10:50発走,15,ムーランブラン,野中悠,43.9,8,中速瞬発,カスリ,7,19,58,59,53,47,44,14,38,-32,13,12,9,111.0
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,01,マイネルデセーオ,木幡育,101.2,12,中速瞬発,ピッタリ,14,55,62,58,48,30,28,30,38,-14,9,12,12,277.3
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,02,メテオスウォーム,小崎綾,18.5,7,中速瞬発,ピッタリ,8,37,48,45,43,42,46,42,40,0,6,3,6,26.5
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,03,カラテ,伴啓太,132.1,14,中速瞬発,ピッタリ,12,50,43,45,51,43,41,15,40,-27,13,10,14,615.1
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,04,ポルトラーノ,Ｃオド,2.1,1,低速瞬発,カスリ,1,0,53,55,56,67,64,42,53,13,1,8,1,1.7
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,05,バロンキング,野中悠,72.4,11,中速バランス,カスリ,11,47,56,59,59,47,39,34,40,-8,8,7,9,152.0
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,06,タガノディアマンテ,横山武,4.5,2,中速バランス,カスリ,4,18,65,64,55,53,49,39,44,1,4,1,2,4.1
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,07,ウォークザライン,北村友,38.7,9,中速持続,,9,39,56,67,75,65,47,29,34,-19,11,9,8,41.3
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,08,フォーティラブ,大野拓,12.6,6,中速瞬発,ピッタリ,5,19,48,47,47,54,57,33,50,1,5,6,7,32.4
東京4R　２歳未勝利２歳(馬齢)　芝1800ｍ　11:20発走,09,クレーリッチェ,武藤雅,47.9,10,中速瞬発,ピッタリ,6,32,43,46,52,57,56,21,38,-23,12,11,10,199.2
