レース情報,馬番,馬名,騎手名,基準オッズ,基準人気順位,ラップ適性,ラップキャラ,展開順位,展開ゴール差,先行力,追走力,持久力,持続力,瞬発力,ＳＴ指数,仕上指数,合計値,合計値順位,,先行力順位,追走力順位,持久力順位,持続力順位,瞬発力順位,ＳＴ指数順位,仕上指数順位,着,人,単勝
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,01,アサケボス,西村淳,36.3,10,中速スタミナ,ピッタリ,9,20,49,49,48,48,48,11,24,-45,14,,10.0,10.0,8.0,8.0,8.0,13.0,12.0,14,14,240.6
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,02,デンコウハピネス,太宰啓,20.8,7,低速スタミナ,カスリ,2,2,57,58,56,74,72,37,25,-18,6,,4.0,3.0,5.0,1.0,1.0,2.0,11.0,3,5,18.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,03,イズジョークラウン,秋山真,20.1,6,中速スタミナ,ピッタリ,8,17,53,50,39,49,51,24,34,-22,7,,8.0,9.0,11.0,7.0,7.0,8.0,6.0,8,10,88.8
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,04,アマノコマンダー,水口優,59.8,13,中速スタミナ,ピッタリ,10,21,52,53,56,42,41,13,23,-44,13,,9.0,8.0,5.0,11.0,11.0,10.0,14.0,6,13,217.6
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,05,ドストエフスキー,服部寿,41.4,11,超高速スタミナ,,14,34,32,35,68,41,37,18,27,-35,9,,13.0,13.0,1.0,12.0,13.0,9.0,10.0,10,12,142.9
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,06,ミヤジアルフィー,川又賢,25.0,9,中速スタミナ,ピッタリ,7,17,55,54,42,45,47,26,40,-14,5,,7.0,6.0,10.0,9.0,10.0,7.0,3.0,4,7,43.4
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,07,ブルベアイリーデ,和田竜,2.8,2,中速スタミナ,ピッタリ,1,0,61,64,60,65,62,39,40,-1,1,,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2,1,1.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,08,メイショウペルム,富田暁,61.7,14,超高速持続,,11,29,44,44,53,38,38,11,33,-36,10,,11.0,11.0,7.0,13.0,12.0,13.0,7.0,12,11,127.8
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,09,ゴルヴァ,幸英明,9.2,4,中速スタミナ,ピッタリ,3,8,57,54,38,56,59,33,40,-7,4,,4.0,6.0,13.0,3.0,3.0,3.0,3.0,1,4,17.5
小倉1R　２歳未勝利２歳(馬齢)　ダ1000ｍ　10:00発走,10,スカートフワリ,鮫島良,48.5,12,超高速底力,,13,33,37,39,59,36,35,13,24,-43,12,,12.0,12.0,4.0,14.0,14.0,10.0,12.0,7,9,81.3
