直前印,前日印,指数印,ST指数,仕上指数,馬番,馬名,激走馬,脚質,騎手名,パドック,オッズ,馬体,気配,状態,脚元,馬具,馬場,脚質,合算値,ゴール前着差,上昇馬
5,5,0,33,41,10,ナンヨーシンゲツ,1,0,柴田善,1,0,0,-1,0,0,0,-1,2,1,0,0
4,2,2,36,42,11,チビラーサン,0,1,田辺裕,3,2,0,0,0,-2,0,0,1,4,-6,1
3,3,0,29,41,2,リンガスハット,0,2,内田博,0,0,0,0,0,1,0,1,-1,1,-6,0
1,4,0,32,25,12,ニットウヴィクスン,0,2,松若風,0,0,0,0,0,0,0,-1,-1,-2,-9,0
2,0,5,43,43,18,クリスタロス,0,2,大野拓,3,1,0,0,0,0,0,-1,-1,2,-9,1
2,0,3,38,42,1,オトリコミチュウ,1,2,池添謙,1,0,-2,0,0,0,2,1,-1,1,-10,1
2,2,2,33,42,6,マーヴェラスロード,0,2,三浦皇,2,1,0,0,0,0,1,-2,-1,1,-10,0
0,2,2,34,35,7,ミオリパヤヤーム,1,3,木幡育,0,0,0,-1,0,0,0,2,-2,-1,-12,0
0,1,0,22,38,4,ムーンレット,0,2,武士沢,0,0,0,0,0,0,-2,-2,-1,-5,-13,0
0,0,0,30,34,17,ミスプロト,0,2,藤田菜,0,0,0,2,0,0,0,-2,-1,-1,-14,0
0,0,1,36,42,9,トーセンジンライム,0,3,江田照,2,1,0,0,0,0,0,0,-2,1,-14,0
0,0,4,39,43,16,チルノ,0,2,伊藤工,0,1,0,-1,0,0,0,-1,-1,-2,-15,0
0,0,0,24,20,3,エレモフィラ,0,2,酒井学,0,0,0,-1,0,0,0,1,-1,-1,-17,0
0,0,0,16,38,13,マインナナ,0,2,岩部純,0,0,0,-1,0,0,0,-1,-1,-3,-21,0
0,0,0,27,41,5,コスモビックラコグ,0,3,柴田大,0,0,0,0,0,-3,0,0,-2,-5,-22,0
0,0,0,20,28,8,サイゴウパワー,0,2,宮崎北,0,0,0,-1,0,0,1,2,-1,1,-23,0
0,0,0,15,35,15,ヤエノヒカリ,0,3,嘉藤貴,0,0,0,2,0,0,0,1,-2,1,-24,0
0,0,0,28,30,14,ニシノポンパドール,0,2,嶋田純,0,0,0,0,0,0,0,2,-1,1,-31,0
